YearPublished,GameWeight,MinPlayers,MaxPlayers,ComAgeRec,LanguageEase,BestPlayers,NumOwned,NumWish,NumWeightVotes,MfgPlaytime,MfgAgeRec,NumAlternates,NumExpansions,NumImplementations,IsReimplementation,Kickstarted,Rank:strategygames,Rank:abstracts,Rank:familygames,Rank:thematic,Rank:cgs,Rank:wargames,Rank:partygames,Rank:childrensgames,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens,Rating,log_NumOwned,log_NumWish,log_MfgPlaytime
1979,4.2,2,2,16.0,463.0,0,135,10,10,360,0,0,0,0,0,0,21926,21926,21926,21926,21926,3480,21926,21926,0,0,1,0,0,0,0,0,Low,4.912654885736052,2.3978952727983707,5.8888779583328805
2011,1.1833,3,12,7.645161290322581,1.0,6,24919,2365,562,30,8,5,33,1,0,0,21926,21926,21926,21926,21926,21926,11,21926,0,0,0,0,0,0,1,0,High,10.123425972901389,7.768956044538332,3.4339872044851463
2016,2.25,2,4,10.0,138.0,0,119,61,4,45,15,1,0,0,0,1,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,4.787491742782046,4.127134385045092,3.828641396489095
2010,2.0,3,6,9.0,138.0,0,367,13,5,150,10,0,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,5.908082938168931,2.6390573296152584,5.017279836814924
2001,1.5714,2,6,8.0,6.0,0,94,32,7,60,10,0,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,4.553876891600541,3.4965075614664802,4.110873864173311
2014,1.75,2,5,8.0,386.0,0,398,65,4,30,8,0,0,0,0,0,21926,684,1920,21926,21926,21926,21926,21926,0,0,0,1,0,1,0,0,Low,5.988961416889864,4.189654742026425,3.4339872044851463
2017,1.0,2,4,10.0,138.0,0,113,15,2,10,21,0,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,4.736198448394496,2.772588722239781,2.3978952727983707
2016,2.6667,1,8,10.0,138.0,0,184,14,3,20,10,1,0,0,0,1,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,5.220355825078324,2.70805020110221,3.044522437723423
1975,2.7143,2,5,16.0,3.0,0,105,39,7,180,12,1,0,0,0,0,21926,21926,21926,21926,21926,3291,21926,21926,0,0,1,0,0,0,0,0,Low,4.663439094112067,3.6888794541139363,5.198497031265826
2018,1.5714,2,4,7.0,166.0,0,532,89,7,40,8,0,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,6.278521424165844,4.499809670330265,3.713572066704308
2017,3.1518,1,4,12.7,517.2,2,7874,1091,112,120,14,0,15,0,0,1,1401,21926,21926,572,21926,21926,21926,21926,1,1,0,0,0,0,0,0,Medium,8.971448463693834,6.9957661563048505,4.795790545596741
1995,1.3571,2,4,8.0,138.0,0,427,48,14,45,8,0,0,1,1,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,6.059123195581797,3.8918202981106265,3.828641396489095
2018,2.8621,2,5,10.666666666666666,36.0,0,1472,326,29,90,12,1,0,0,0,0,1246,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0,Medium,7.29505641646263,5.7899601708972535,4.51085950651685
2008,2.8,2,2,21.0,33.0,0,277,25,10,600,0,1,0,1,0,0,21926,21926,21926,21926,21926,1905,21926,21926,0,0,1,0,0,0,0,0,Medium,5.627621113690637,3.258096538021482,6.398594934535208
2017,1.0,2,5,10.0,138.0,0,85,6,3,20,8,0,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,4.454347296253507,1.9459101490553132,3.044522437723423
1997,3.5064,2,4,12.336363636363636,16.050359712230215,4,29238,6463,2674,90,12,15,1,2,0,0,85,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0,High,10.283258713552488,8.774003600200931,4.51085950651685
2017,1.0,2,5,6.666666666666667,51.0,0,383,72,5,20,7,1,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,5.950642552587727,4.290459441148391,3.044522437723423
2010,4.3319,2,5,14.090909090909092,32.45,3,2452,891,226,180,12,0,3,3,1,0,667,21926,21926,231,21926,21926,21926,21926,1,1,0,0,0,0,0,0,High,7.8050670442584895,6.79346613258001,5.198497031265826
2010,3.0714,2,2,16.0,163.0,0,341,47,14,400,0,0,0,0,0,0,21926,21926,21926,21926,21926,1508,21926,21926,0,0,1,0,0,0,0,0,High,5.834810737062605,3.871201010907891,5.993961427306569
2014,1.2222,2,4,9.0,746.0,0,730,36,9,30,10,0,0,0,0,1,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,6.594413459749778,3.6109179126442243,3.4339872044851463
2017,1.0,4,10,10.0,138.0,0,132,4,1,60,15,0,0,1,1,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,4.890349128221754,1.6094379124341003,4.110873864173311
2002,1.4598,2,4,7.0,7.5,0,2158,115,87,60,8,3,0,1,0,0,21926,21926,2254,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0,Low,7.677400430514807,4.7535901911063645,4.110873864173311
2016,3.1,1,3,12.0,561.0,0,137,175,10,90,0,0,0,0,0,0,2084,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0,High,4.927253685157205,5.170483995038151,4.51085950651685
1999,3.0,2,2,16.0,18.0,0,148,48,4,90,12,0,0,0,0,0,21926,21926,21926,21926,21926,2561,21926,21926,0,0,1,0,0,0,0,0,High,5.003946305945459,3.8918202981106265,4.51085950651685
1999,3.198,2,2,15.0,168.42857142857142,0,1332,569,101,300,12,2,0,0,0,0,21926,21926,21926,21926,21926,193,21926,21926,0,0,1,0,0,0,0,0,High,7.195187320178709,6.345636360828596,5.707110264748875
2017,1.637,2,4,7.138461538461539,1.0,4,18858,3761,303,45,8,7,1,0,0,0,21926,21926,54,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0,High,9.844745532512365,8.232706009860976,3.828641396489095
2010,3.1102,2,4,12.210526315789474,1.2352941176470589,2,3630,569,236,90,10,2,5,3,0,0,790,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0,Medium,8.197263371414335,6.345636360828596,4.51085950651685
2014,1.0714,2,6,7.5,236.0,0,748,47,14,15,5,4,0,0,0,0,21926,21926,1408,21926,21926,21926,332,21926,0,0,0,1,0,0,1,0,Medium,6.618738983517219,3.871201010907891,2.772588722239781
2017,4.3617,1,4,13.625,1.105263157894737,3,23772,10019,1200,150,12,11,0,1,1,0,7,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0,High,10.076305761898272,9.212338374638856,5.017279836814924
2014,2.0,2,4,8.0,407.0,0,363,45,3,45,14,0,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,5.8971538676367405,3.828641396489095,3.828641396489095
2016,2.1429,2,4,10.0,138.0,0,1111,88,7,45,10,1,0,2,1,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,High,7.013915474810528,4.48863636973214,3.828641396489095
2009,2.8176,2,5,11.287671232876711,21.133333333333333,5,20891,5936,965,90,13,5,7,0,0,0,151,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0,High,9.94712158955619,8.688959234270676,4.51085950651685
2014,2.0,2,6,10.0,138.0,0,53,8,5,30,8,1,0,2,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,3.9889840465642745,2.1972245773362196,3.4339872044851463
1996,2.7778,2,5,12.0,22.33333333333333,0,248,10,9,120,12,0,1,0,0,0,21926,21926,21926,21926,21926,3471,21926,21926,0,0,1,0,0,0,0,0,Low,5.517452896464707,2.3978952727983707,4.795790545596741
